source,destination,risk,s_name,d_name,s_latt,s_long,d_latt,d_long,s_country,d_country
8311,8140,4.582431503203614e-05,Changzhou,Yangjiang,31.9667,119.9833,21.85,111.9333,CHN,CHN
8311,2159,7.191333340031223e-06,Changzhou,Newcastle(AUS),31.9667,119.9833,-32.9053,151.7636,CHN,AUS
8311,8640,6.205850292188594e-06,Changzhou,Nansha,31.9667,119.9833,22.7714,113.6081,CHN,CHN
8311,8,2.734853984529438e-06,Changzhou,Jiangmen,31.9667,119.9833,22.6667,113.0833,CHN,CHN
8311,8115,2.474958886821423e-06,Changzhou,Dongguan,31.9667,119.9833,23.05,113.7167,CHN,CHN
8311,2304,2.0127071486805845e-06,Changzhou,Dampier,31.9667,119.9833,-20.6831,116.6858,CHN,AUS
8311,153,6.206718709516992e-07,Changzhou,Abbot Point,31.9667,119.9833,-19.885,148.0781,CHN,AUS
8311,3529,5.993552766875587e-07,Changzhou,Ho Chi Minh City,31.9667,119.9833,10.7667,106.7167,CHN,VNM
8311,1791,5.074729118729817e-07,Changzhou,Port Hedland,31.9667,119.9833,-20.3156,118.5823,CHN,AUS
8311,1524,3.88711102167213e-07,Changzhou,Bintulu,31.9667,119.9833,3.1667,113.0333,CHN,MYS
8311,4173,3.7206712164474555e-07,Changzhou,Botany Bay,31.9667,119.9833,-33.9653,151.2245,CHN,AUS
8311,115,3.3524165947349836e-07,Changzhou,Port Klang,31.9667,119.9833,3,101.4,CHN,MYS
8311,3003,3.2970620893291464e-07,Changzhou,Ko Sichang,31.9667,119.9833,13.15,100.8,CHN,THA
8311,3164,3.1518859463133954e-07,Changzhou,Hong Kong,31.9667,119.9833,22.2861,114.1575,CHN,CHN
8311,7597,2.9799459899654764e-07,Changzhou,Long Beach,31.9667,119.9833,33.7664,-118.2108,CHN,USA
8311,1165,2.947810673191122e-07,Changzhou,Singapore,31.9667,119.9833,1.2689,103.8331,CHN,SGP
8311,5587,2.6596790008376473e-07,Changzhou,Milner Bay,31.9667,119.9833,-13.8578,136.4242,CHN,AUS
8311,5340,2.3763937594886694e-07,Changzhou,Dumai,31.9667,119.9833,1.6833,101.45,CHN,IDN
8311,2766,2.3030787082103658e-07,Changzhou,Biringkassi,31.9667,119.9833,-4.8167,119.5,CHN,IDN
8311,52,1.0549920312040492e-07,Changzhou,Lahad Datu,31.9667,119.9833,5.0239,118.3494,CHN,MYS
8311,232,8.655682026201626e-08,Changzhou,Balikpapan,31.9667,119.9833,-1.2667,116.8167,CHN,IDN
8311,1504,8.139853507091623e-08,Changzhou,Kaohsiung,31.9667,119.9833,22.5927,120.3053,CHN,TWN
8311,2088,7.330837956062878e-08,Changzhou,Oita,31.9667,119.9833,33.2673,131.5111,CHN,JPN
