source,destination,risk,s_name,d_name,s_latt,s_long,d_latt,d_long,s_country,d_country
8311,5290,4.518074633025902e-09,Changzhou,Mina Saqr,31.9667,119.9833,25.9833,56.05,CHN,ARE
8311,5586,3.5018656547190702e-09,Changzhou,Mokpo,31.9667,119.9833,34.7828,126.3847,CHN,KOR
8311,8219,2.4295705946358306e-09,Changzhou,Qianwan,31.9667,119.9833,35.9833,120.1833,CHN,CHN
8311,5146,1.97269162171664e-09,Changzhou,Ulsan,31.9667,119.9833,35.505,129.3841,CHN,KOR
8311,5828,1.9380990843314194e-09,Changzhou,Xingang,31.9667,119.9833,38.9833,117.75,CHN,CHN
8311,7705,1.3587927397574564e-09,Changzhou,Tangshan,31.9667,119.9833,39.2167,119.0167,CHN,CHN
8311,4128,1.079200892650592e-09,Changzhou,Shikama,31.9667,119.9833,34.7833,134.6667,CHN,JPN
8311,4240,9.892529935734975e-10,Changzhou,Kashima,31.9667,119.9833,35.9217,140.6773,CHN,JPN
8311,7584,8.392119605529266e-10,Changzhou,Rizhao,31.9667,119.9833,35.3795,119.5439,CHN,CHN
8311,3283,6.930605345272956e-10,Changzhou,Lanshan,31.9667,119.9833,35.0833,119.35,CHN,CHN
8311,3415,5.19533837940146e-10,Changzhou,Lianyungang,31.9667,119.9833,34.7333,119.45,CHN,CHN
8311,9597,4.1539084063408855e-10,Changzhou,Huangdao,31.9667,119.9833,36.0273,120.2161,CHN,CHN
8311,2994,4.02195602428952e-10,Changzhou,Tokuyama,31.9667,119.9833,34,131.8,CHN,JPN
8311,4404,1.41578240417922e-10,Changzhou,Gunsan,31.9667,119.9833,35.9753,126.6264,CHN,KOR
8311,8639,1.0918861266420009e-10,Changzhou,Laizhou,31.9667,119.9833,37.3908,119.9553,CHN,CHN
8311,2302,4.4524526017350954e-11,Changzhou,Longkou,31.9667,119.9833,37.6608,120.3178,CHN,CHN
8311,722,3.640688474697611e-11,Changzhou,Pyeongtaek,31.9667,119.9833,36.9969,126.7914,CHN,KOR
8311,4438,2.1305528295381798e-11,Changzhou,Weihai,31.9667,119.9833,37.5044,122.1192,CHN,CHN
8311,6406,1.5315121317003812e-11,Changzhou,Bayuquan,31.9667,119.9833,40.2889,122.0991,CHN,CHN
8311,3269,7.117195015704071e-12,Changzhou,Longview,31.9667,119.9833,46.1333,-122.9333,CHN,USA
8311,5588,2.716784332384202e-12,Changzhou,Astoria,31.9667,119.9833,46.1833,-123.8333,CHN,USA
8311,3983,2.3004843586849356e-12,Changzhou,Dalian,31.9667,119.9833,38.9248,121.6514,CHN,CHN
8311,2957,1.909871543384032e-12,Changzhou,Qinhuangdao,31.9667,119.9833,39.9317,119.6411,CHN,CHN
8311,3974,1.2141505369500436e-12,Changzhou,Yantai,31.9667,119.9833,37.5644,121.3703,CHN,CHN
8311,8517,1.150923865246825e-12,Changzhou,Shanhaiguan,31.9667,119.9833,39.9864,119.8292,CHN,CHN
8311,4842,8.187310333967487e-13,Changzhou,Dandong,31.9667,119.9833,40.1333,124.4,CHN,CHN
8311,9592,7.211181882072219e-13,Changzhou,Panjin,31.9667,119.9833,41.1167,122.0667,CHN,CHN
8311,2230,3.9411903780682296e-13,Changzhou,Yingkou,31.9667,119.9833,40.6833,122.2333,CHN,CHN
8311,6196,3.32475757286623e-13,Changzhou,Daesan,31.9667,119.9833,37.0119,126.4106,CHN,KOR
8311,3108,1.9324415943567966e-13,Changzhou,Nanaimo,31.9667,119.9833,49.1667,-123.9333,CHN,CAN
8311,8142,1.0342975619594562e-13,Changzhou,Huludao,31.9667,119.9833,40.7167,120.9833,CHN,CHN
8311,4303,9.98580476466729e-14,Changzhou,Incheon,31.9667,119.9833,37.465,126.6267,CHN,KOR
8311,7590,5.4911103608169626e-14,Changzhou,Jinzhou,31.9667,119.9833,40.8405,121.0464,CHN,CHN
8311,126,1.2230864352234598e-15,Changzhou,Manchester(USA),31.9667,119.9833,47.55,-122.5333,CHN,USA
8311,3444,2.203420390460665e-18,Changzhou,Nakhodka,31.9667,119.9833,42.7986,132.877,CHN,RUS
8311,818,9.356911010523966e-19,Changzhou,Vostochnyy,31.9667,119.9833,42.7503,133.0767,CHN,RUS
8311,4309,6.678843375787366e-19,Changzhou,Vanino,31.9667,119.9833,49.0833,140.2667,CHN,RUS
8311,6267,5.447369937705838e-20,Changzhou,Sovetskaya Gavan,31.9667,119.9833,48.9723,140.2748,CHN,RUS
8311,944,1.7652196073448543e-20,Changzhou,Vladivostok,31.9667,119.9833,43.0983,131.8922,CHN,RUS
5419,1796,0.0005776992087539491,Yizheng,San Nicolas(ARG),32.2,119.2,-33.3314,-60.2225,CHN,ARG
5419,2159,0.00014358888661573346,Yizheng,Newcastle(AUS),32.2,119.2,-32.9053,151.7636,CHN,AUS
5419,1600,6.376108038743868e-05,Yizheng,Melbourne,32.2,119.2,-37.8311,144.9178,CHN,AUS
5419,5708,5.5319157348852653e-05,Yizheng,Chiba,32.2,119.2,35.5803,140.1275,CHN,JPN
5419,4067,2.6726223154456778e-05,Yizheng,Brisbane,32.2,119.2,-27.4092,153.1558,CHN,AUS
5419,502,1.721769925177394e-05,Yizheng,Kawasaki,32.2,119.2,35.5,139.75,CHN,JPN
5419,2088,1.4654780984922963e-05,Yizheng,Oita,32.2,119.2,33.2673,131.5111,CHN,JPN
5419,8842,7.040037061737783e-06,Yizheng,Huanghua,32.2,119.2,38.3667,117.3333,CHN,CHN
5419,3083,6.480174164358251e-06,Yizheng,Fukuyama,32.2,119.2,34.4561,133.4369,CHN,JPN
5419,962,5.468363608603245e-06,Yizheng,Uno,32.2,119.2,34.4833,133.95,CHN,JPN
5419,5828,4.301584032673586e-06,Yizheng,Xingang,32.2,119.2,38.9833,117.75,CHN,CHN
5419,2508,2.338180810591317e-06,Yizheng,Donghae,32.2,119.2,37.5136,129.1203,CHN,KOR
5419,8115,2.163437310376455e-06,Yizheng,Dongguan,32.2,119.2,23.05,113.7167,CHN,CHN
5419,1483,1.0740251702613538e-06,Yizheng,Mizushima,32.2,119.2,34.4864,133.7325,CHN,JPN
5419,3974,9.435408157577989e-07,Yizheng,Yantai,32.2,119.2,37.5644,121.3703,CHN,CHN
5419,7582,8.672481557790374e-07,Yizheng,Shidao,32.2,119.2,36.8798,122.4289,CHN,CHN
5419,4152,7.115170986252546e-07,Yizheng,Niihama,32.2,119.2,33.9619,133.2656,CHN,JPN
5419,6406,6.169282845218796e-07,Yizheng,Bayuquan,32.2,119.2,40.2889,122.0991,CHN,CHN
5419,2302,5.505547618120401e-07,Yizheng,Longkou,32.2,119.2,37.6608,120.3178,CHN,CHN
5419,7584,4.6472235632692975e-07,Yizheng,Rizhao,32.2,119.2,35.3795,119.5439,CHN,CHN
5419,5146,4.3692283693336126e-07,Yizheng,Ulsan,32.2,119.2,35.505,129.3841,CHN,KOR
5419,2230,4.2042554854114506e-07,Yizheng,Yingkou,32.2,119.2,40.6833,122.2333,CHN,CHN
5419,6071,4.177319545388309e-07,Yizheng,Onsan,32.2,119.2,35.4458,129.3569,CHN,KOR
5419,8639,3.1200551859262305e-07,Yizheng,Laizhou,32.2,119.2,37.3908,119.9553,CHN,CHN
5419,3283,2.9600307050330933e-07,Yizheng,Lanshan,32.2,119.2,35.0833,119.35,CHN,CHN
5419,3725,2.8750315704110256e-07,Yizheng,Xiamen,32.2,119.2,24.4575,118.0714,CHN,CHN
5419,1139,2.701344399673197e-07,Yizheng,Hiroshima,32.2,119.2,34.3603,132.435,CHN,JPN
5419,5493,2.275296690983779e-07,Yizheng,Osaka,32.2,119.2,34.6394,135.4173,CHN,JPN
