source,destination,risk,s_name,d_name,s_latt,s_long,d_latt,d_long,s_country,d_country
8311,8140,3.3922685763925075e-06,Changzhou,Yangjiang,31.9667,119.9833,21.85,111.9333,CHN,CHN
8311,2159,5.32357856188292e-07,Changzhou,Newcastle(AUS),31.9667,119.9833,-32.9053,151.7636,CHN,AUS
8311,8640,4.594048142622551e-07,Changzhou,Nansha,31.9667,119.9833,22.7714,113.6081,CHN,CHN
8311,8,2.0245494616242874e-07,Changzhou,Jiangmen,31.9667,119.9833,22.6667,113.0833,CHN,CHN
8311,8115,1.8321551023202801e-07,Changzhou,Dongguan,31.9667,119.9833,23.05,113.7167,CHN,CHN
8311,2304,1.4899607793758512e-07,Changzhou,Dampier,31.9667,119.9833,-20.6831,116.6858,CHN,AUS
8311,153,4.594691011983995e-08,Changzhou,Abbot Point,31.9667,119.9833,-19.885,148.0781,CHN,AUS
8311,3529,4.436889170696461e-08,Changzhou,Ho Chi Minh City,31.9667,119.9833,10.7667,106.7167,CHN,VNM
8311,1791,3.756705170854418e-08,Changzhou,Port Hedland,31.9667,119.9833,-20.3156,118.5823,CHN,AUS
8311,1524,2.8775388268321773e-08,Changzhou,Bintulu,31.9667,119.9833,3.1667,113.0333,CHN,MYS
8311,4173,2.7543272696643665e-08,Changzhou,Botany Bay,31.9667,119.9833,-33.9653,151.2245,CHN,AUS
8311,115,2.481716848652467e-08,Changzhou,Port Klang,31.9667,119.9833,3,101.4,CHN,MYS
8311,3003,2.4407391822937454e-08,Changzhou,Ko Sichang,31.9667,119.9833,13.15,100.8,CHN,THA
8311,3164,2.3332686248724505e-08,Changzhou,Hong Kong,31.9667,119.9833,22.2861,114.1575,CHN,CHN
8311,7597,2.2059854324150003e-08,Changzhou,Long Beach,31.9667,119.9833,33.7664,-118.2108,CHN,USA
8311,1165,2.1821963970066478e-08,Changzhou,Singapore,31.9667,119.9833,1.2689,103.8331,CHN,SGP
8311,5587,1.9688991513621048e-08,Changzhou,Milner Bay,31.9667,119.9833,-13.8578,136.4242,CHN,AUS
8311,5340,1.7591896070487696e-08,Changzhou,Dumai,31.9667,119.9833,1.6833,101.45,CHN,IDN
8311,2766,1.7049161619456355e-08,Changzhou,Biringkassi,31.9667,119.9833,-4.8167,119.5,CHN,IDN
8311,52,7.809863198819274e-09,Changzhou,Lahad Datu,31.9667,119.9833,5.0239,118.3494,CHN,MYS
8311,232,6.407602192024412e-09,Changzhou,Balikpapan,31.9667,119.9833,-1.2667,116.8167,CHN,IDN
8311,1504,6.025746211207105e-09,Changzhou,Kaohsiung,31.9667,119.9833,22.5927,120.3053,CHN,TWN
8311,2088,5.426850618409034e-09,Changzhou,Oita,31.9667,119.9833,33.2673,131.5111,CHN,JPN
8311,7892,4.807698394548051e-09,Changzhou,Huizhou,31.9667,119.9833,22.7,114.5667,CHN,CHN
8311,7895,4.485696034949058e-09,Changzhou,Mai-Liao,31.9667,119.9833,23.7852,120.1803,CHN,TWN
8311,3647,3.55715141257535e-09,Changzhou,Taichung,31.9667,119.9833,24.28,120.5275,CHN,TWN
8311,5863,3.342690005506666e-09,Changzhou,Basuo,31.9667,119.9833,19.1,108.6167,CHN,CHN
8311,4336,3.2143774222852807e-09,Changzhou,Gresik,31.9667,119.9833,-7.15,112.65,CHN,IDN
8311,950,3.0307781778829713e-09,Changzhou,Sandakan,31.9667,119.9833,5.8119,118.0784,CHN,MYS
8311,5623,2.495377820116143e-09,Changzhou,Port Kembla,31.9667,119.9833,-34.465,150.8891,CHN,AUS
8311,4074,1.9259223902759255e-09,Changzhou,Batangas,31.9667,119.9833,13.75,121.05,CHN,PHL
8311,3773,1.698691680584227e-09,Changzhou,Isabel,31.9667,119.9833,10.9167,124.4167,CHN,PHL
8311,5708,1.2652284416347133e-09,Changzhou,Chiba,31.9667,119.9833,35.5803,140.1275,CHN,JPN
8311,6366,1.1199992185506717e-09,Changzhou,Map Ta Phut,31.9667,119.9833,12.65,101.15,CHN,THA
8311,502,9.903678326928644e-10,Changzhou,Kawasaki,31.9667,119.9833,35.5,139.75,CHN,JPN
