source,destination,risk,s_name,d_name,s_latt,s_long,d_latt,d_long,s_country,d_country
8311,8140,0.005394237236041743,Changzhou,Yangjiang,31.9667,119.9833,21.85,111.9333,CHN,CHN
8311,2159,0.0017178334435343987,Changzhou,Newcastle(AUS),31.9667,119.9833,-32.9053,151.7636,CHN,AUS
8311,8640,0.0007305254580242182,Changzhou,Nansha,31.9667,119.9833,22.7714,113.6081,CHN,CHN
8311,2304,0.0007107811544419152,Changzhou,Dampier,31.9667,119.9833,-20.6831,116.6858,CHN,AUS
8311,8,0.00032193500739012174,Changzhou,Jiangmen,31.9667,119.9833,22.6667,113.0833,CHN,CHN
8311,8115,0.0002913412972050121,Changzhou,Dongguan,31.9667,119.9833,23.05,113.7167,CHN,CHN
8311,1165,0.00025989568813416196,Changzhou,Singapore,31.9667,119.9833,1.2689,103.8331,CHN,SGP
8311,3164,0.0002314787464587564,Changzhou,Hong Kong,31.9667,119.9833,22.2861,114.1575,CHN,CHN
8311,153,0.00014612553686010158,Changzhou,Abbot Point,31.9667,119.9833,-19.885,148.0781,CHN,AUS
8311,3529,7.055347251488364e-05,Changzhou,Ho Chi Minh City,31.9667,119.9833,10.7667,106.7167,CHN,VNM
8311,1791,5.9737483813866277e-05,Changzhou,Port Hedland,31.9667,119.9833,-20.3156,118.5823,CHN,AUS
8311,1524,4.5757364838019234e-05,Changzhou,Bintulu,31.9667,119.9833,3.1667,113.0333,CHN,MYS
8311,4173,4.379810850374605e-05,Changzhou,Botany Bay,31.9667,119.9833,-33.9653,151.2245,CHN,AUS
8311,115,3.9463176729212934e-05,Changzhou,Port Klang,31.9667,119.9833,3,101.4,CHN,MYS
8311,3003,3.881156778746642e-05,Changzhou,Ko Sichang,31.9667,119.9833,13.15,100.8,CHN,THA
8311,7597,3.50786162525882e-05,Changzhou,Long Beach,31.9667,119.9833,33.7664,-118.2108,CHN,USA
8311,5587,3.1308573826377276e-05,Changzhou,Milner Bay,31.9667,119.9833,-13.8578,136.4242,CHN,AUS
8311,5340,2.797386430319638e-05,Changzhou,Dumai,31.9667,119.9833,1.6833,101.45,CHN,IDN
8311,2766,2.7110831698581874e-05,Changzhou,Biringkassi,31.9667,119.9833,-4.8167,119.5,CHN,IDN
8311,2088,2.6947025451197358e-05,Changzhou,Oita,31.9667,119.9833,33.2673,131.5111,CHN,JPN
8311,232,2.0378177941746492e-05,Changzhou,Balikpapan,31.9667,119.9833,-1.2667,116.8167,CHN,IDN
8311,52,1.241890314011166e-05,Changzhou,Lahad Datu,31.9667,119.9833,5.0239,118.3494,CHN,MYS
8311,1504,1.2304132085568651e-05,Changzhou,Kaohsiung,31.9667,119.9833,22.5927,120.3053,CHN,TWN
8311,7892,7.644991873582268e-06,Changzhou,Huizhou,31.9667,119.9833,22.7,114.5667,CHN,CHN
8311,7895,7.13295779399021e-06,Changzhou,Mai-Liao,31.9667,119.9833,23.7852,120.1803,CHN,TWN
8311,3647,5.656426716176454e-06,Changzhou,Taichung,31.9667,119.9833,24.28,120.5275,CHN,TWN
8311,5863,5.3153995593780195e-06,Changzhou,Basuo,31.9667,119.9833,19.1,108.6167,CHN,CHN
8311,4336,5.111362497253191e-06,Changzhou,Gresik,31.9667,119.9833,-7.15,112.65,CHN,IDN
8311,950,4.8194110027411384e-06,Changzhou,Sandakan,31.9667,119.9833,5.8119,118.0784,CHN,MYS
8311,5623,3.96804075271005e-06,Changzhou,Port Kembla,31.9667,119.9833,-34.465,150.8891,CHN,AUS
8311,4074,3.062517615394984e-06,Changzhou,Batangas,31.9667,119.9833,13.75,121.05,CHN,PHL
8311,3773,2.7011852716291326e-06,Changzhou,Isabel,31.9667,119.9833,10.9167,124.4167,CHN,PHL
